Title,Date,Description
100% REMOTE: Berater SAP FI/CO mwd <> 4 Monate+,31.01.2024,"Dietrich Spohr sucht akut nach einem erfahrenen technischen SAP FI/CO Berater für die Übernahme eines bestehenden umgesetzten S4 Transformationsprojektes (Brownfield).

Aufgaben:
•	Fachliche Leitung SAP FI/CO
•	Vor- und Nacharbeiten der Conversion
•	(Customer/Vendor) Integration (CVI)
•	Finance Daten- und Customizing-Migration
•	Aufbereitung neuer und alter Transaktionen, aufbauend auf den alten (ECC) Transaktionen
•	Begleitung von Funktionstest und Integrationstest
•	Funktions- und Integrationstest
•	Unterstützung beim Auftreten von Problemen bei Tests
•	Mehrjährige Erfahrung in SAP FI/CO
•	SAP FI Datenmigration
•	Erfahrung S/4HANA (Brownfield) 

Rahmendaten:
Start: 		Februar/März 2024
Dauer: 		4 Monate+
Auslastung: 	3 Tage pro Woche
Ort: 		100% REMOTE

Schlüsselwörter: SAP FI, SAP CO, BP Migration, S/4 HANA, Brownfield

Bei Interesse freue ich mich über Ihre Bewerbungsunterlagen und eine Nachricht mit Ihren Kontaktdaten zur weiteren Verwendung an:

nils.sahler@dietrich-spohr.de

Für die Zusammenarbeit bedanke ich mich schon im Voraus.

Beste Grüße aus Bonn.

Wir operieren als Personalberatungsunternehmen. Keine der genannten Fachausdrücke sollen diskriminierend in Hinblick auf Alter oder Erfahrung sein. Wir bestätigen, dass wir alle Bewerbungen von Kandidaten jeden Alters und Erfahrungen gerne entgegennehmen."
"Autor*in Prüfungsvorbereitung Ausbildungsberuf ""Mechatronik"" (Freelance) (m/w/i)",31.01.2024,"Berufliche Bildung zukunftsfähig gestalten.
Die Cornelsen eCademy & inside GmbH ist Experte für digitale Bildung. Mit unseren digitalen Lernlösungen für die Aus- und Weiterbildung in Unternehmen schaffen wir effektive Bildungschancen. Für jeden. Jederzeit an jedem Ort. Wir sind ein eigenständiges Tochterunternehmen der Cornelsen Gruppe mit Standorten in Aachen, Köln und Berlin und Teams aus aller Welt.
Be a lifelong learner!
Bildung, Digitalisierung und du mittendrin. Sinnstiftendes Arbeiten und echte Eigenverantwortung immer inklusive. Du wächst mit uns und kannst deine anspruchsvollen Aufgaben für die eigene Weiterentwicklung nutzen.

Deine Aufgaben
Wir suchen Berufsschullehrer*innen oder Ausbilder*innen für Mechatroniker*innen (m/w/i) (Freelance), mit einer Leidenschaft für nachhaltiges, vernetztes Lernen in der betrieblichen Ausbildung. 
Der zeitliche Aufwand beträgt ca. 5-8 Stunden pro Woche. 

Du unterstützt unser Contentteam als Autor*in in der Erstellung, Überarbeitung und Ergänzung von Fragen zur Prüfungsvorbereitung für den Ausbildungsberuf Mechatroniker*in
Im Rahmen der Qualitätssicherung überprüfst du vorhandene Prüfungssätze 
Du nimmst mit dem Projektteam an einem wöchentlichen Regeltermin teil


Das solltest du mitbringen
Du bringst fundiertes Fachwissen im Rahmen der Prüfungsvorbereitung ""Mechatronik"" mit
Fragen zur Prüfungsvorbereitung und Lösungsherleitungen kannst du zielgruppengerecht und verständlich erstellen
Du magst agiles und eigenverantwortliches Arbeiten und eine effektive Teamkommunikation

Nice to have:
Sicherer Umgang mit digitalen Produkten (bspw. MS Word)



Das bieten wir dir
Abwechslung: Digitale Lernmedien für Kundenprojekte aus unterschiedlichen Branchen und Lizenzprodukte für die berufliche Ausbildung, langweilig wird dir garantiert nicht
Partnerschaftliche Zusammenarbeit: Wir legen großen Wert darauf, mit dir partnerschaftlich zusammen zu arbeiten. Regelmäßige Abstimmungen und eine flexible Erreichbarkeit (via Slack und Zoom) während unserer gemeinsamen Projekte sind für uns selbstverständlich
Mitgestaltung von Erfolg: Deine Arbeit hat maßgeblichen Einfluss auf den Erfolg unserer Produkte und auf den Erfolg derjenigen, die mit ihnen lernen
Option auf längerfristige Zusammenarbeit: Wir arbeiten mit dir gerne regelmäßig zusammen und bieten dir eine gute Mischung aus kleinen und großen Projekten an, die du gut einplanen kannst
Mehr dazu, wer wir sind und was dich erwartet, findest du auf unserer Karriereseite.
 
Das passt zu dir? 
Bitte sende uns deinen Lebenslauf und Infos zu Projekten, die du schon umgesetzt hast über das Formular. Wir versprechen dir einen persönlichen, transparenten und unkomplizierten Bewerbungsprozess und eine schnelle Rückmeldung.

Wir freuen uns auf deine Bewerbung!"
"SAP FI, Business Partner Datenmigration ECC, S/4 HANA Convertion, Brownfield (W/M/D)",31.01.2024,"Start: 15.02.2023
Projektstandort: Remote 
Auslastung: Teilzeit, etwa 55PT
Stichworte: SAP FI, Business Partner Migration, S/4 HANA, Brownfield Migration

Für einen Projekteinsatzunser Mandant einen erfahrenen technischen SAP FI/CO Berater für die Übernahme eines bestehenden und bereits in Teilen umgesetzten S4 Transformationsprojektes (Brownfield Migrationsansatz). 
Gesucht wird insbesondere Erfahrung in Bereich SAP FI/CO Beratung in Business Partner Anpassungen, FI-Datenmigration zur S4 Mig von ERP 6.0 Ehp 8.



Leistungsbeschreibung

•	Planung: Übernahme eines bestehenden und bereits in Teilen umgesetzten S4 Transformationsprojektes 
•	Fachliche Leitung der Conversion für die Themengebiete SAP FI/CO0
•	SAP FI/CO-seitige Vor- und Nacharbeiten der Conversion, insbesondere Themen Business Partner (BP) Conversion 
        (Customer/Vendor) Integration (CVI), sowie Finance Daten- und Customizing-Migration
•	Aufbereitung neuer und alter Transaktionen, aufbauend auf den alten (ECC) Transaktionen des Kunden sowie 
        Aussprache von Empfehlungen
•	Begleitung von Funktionstest und Integrationstest, Check und ggf. Mitwirkung an der Überarbeitung bzw. Ergänzung 
        dieser.
•	FI/CO-seitige Unterstützung beim Auftreten von Problemen bei Tests.
•	Verankerung und Schulung von Business Partnerpflege in der Kundenorganisation.
•	Funktions- und Integrationstest


Anforderungen

•	Mehrjährige Erfahrung in SAP FI/CO
•	Business Partner Anpassungen
•	SAP FI Datenmigration
•	Erfahrung im Bereich S/4HANA Conversions (Brownfield Ansatz)


 Wir freuen uns auf Ihre Rückmeldung."
Freelance Salesforce Apex Entwickler 12 Monate + Remote (w/m/d),31.01.2024,"Hallo liebe Salesforce Entwickler!

Für unseren guten Kunden suchen wir ab März einen erfahrenen Salesforce Entwickler (Keinen Berater).
Speziell geht es um eine Salesforce OMS Entwicklung.
Zudem wäre es von Vorteil, wenn du dich in der Middlewareentwicklung sowie API Entwicklung auskennst und ebenfalls durchführen kannst.


Projektdetails:

Start: März-April 2024
Laufzeit: 12 Monate + Option
Location: Remote


Skillset:

- Sehr große Erfahrung in der Salesforce Apex Entwicklung

Nice to Have:

- Erfahrung in der Schnittstellenprogrammierung mit PHP
- Erfahrung in der Middlewareprogrammierung (bev. Python)


Sollte das Projekt passend und interessant klingen, dann sende mir gerne deinen aktuellen CV, Stundensatz sowie frühestmögliches Startdatum zu.

Viele Grüße"
Scrum Master Systementwicklung (m/w/d),31.01.2024,"Für ein Projekt, das wir für einen Kunden aus dem öffentlichen Dienst umsetzen, suchen wir extern die Hilfe eines erfahrenen Scrum - Master Systementwicklung (m/w/d).
 
* Projekttitel: Scrum - Master Systementwicklung
* Projektstandort: Remote / 20 % vor Ort in Nürnberg
* Projektdauer: 01.03.2024 – 31.10.2024
* Auslastung: Vollzeit 
  
Aufgabenfeld:
  
* Durchführung von Sprint-Retrospektiven im eigenen und anderen Team 
* Moderation und ggfls. Dokumentation der Scrum - Ereignisse

 
Anforderungen:
 
* JEE-Anwendungsentwicklung: Methoden und Werkzeuge
* Konzeption und Realisierung web-basierter JEE-Anwendungen
* Agiles Testen: TDD/BDD
* Agiles Requirements Engineering: Impact Analyse, Szenarien, Personas, Story Mapping
* Clean Code Development und Code Analyse
* Continuous Integration und Continuous Delivery
* Scrum-Kenntnisse, Zertifizierter Scrum Master
* Durchsetzungsvermögen, Akzeptanz bei Stakeholdern
* Vermittlung agiler Werte
* Führungs-, Motivations- und Moderationskompetenz; Organisations-, Delegations- und Kommunikationsfähigkeit
* Agile Security Practices
* Analytische Fähigkeiten, Qualitätsbewusstsein, Flexibilität, Belastbarkeit, Teamgeist
 
Insofern das Projekt für dich interessant klingt, freue wir uns auf deinen CV, Stundensatz sowie deiner Verfügbarkeit. 

Dein Ansprechpartner:
efekan.coskun@cloud-consulting.eu
+4961514930932"
Remote: Microsoft Dataverse Consultant (w/m/d),31.01.2024,"Für unseren Kunden suchen wir einen Microsoft Dataverse Consultant (w/m/d).

Rahmendaten:
Start: asap
Laufzeit: 31.03.24++
Auslastung: ca. 25PT bis Ende März
Einsatzort: Remote

Aufgaben:
- Der Kunde möchte seine Daten in Microsoft Dataverse speichern und verwalten, um dann mit MS Dynamics 365 Anwendungen auf diese Daten zugreifen zu können. Hier braucht der Kunde u.a. Beratung bei folgenden Punkten:
a. Reports erstellen aus Dataverse
b. SQL-Connector zu Dataverse
c. Konnektivität zur Azure Data Factory herstellen (siehe Punkt 2)
d. Datenbank Migrationen zu Dataverse
e. API-Gateway zur Dataverse
- Parallel dazu soll die Azure Data Factory auf Basis von „Azure Data Lake Storage Gen2“ aufgebaut werden. 
- Hierzu soll zunächst ein Konzept erarbeitet und später die Lösung implementiert werden."
DevSecOps (m/w/d),31.01.2024,"Für unseren Kunden suchen wir zum nächstmöglichen Zeitpunkt einen DevSecOps (m/w/d). Die Tätigkeit soll remote sowie ca. 5% vor Ort beim Kunden in Bonn stattfinden.

Aufgaben:
- IST-Analyse, Bestandsaufnahme der bestehenden Kubernetes Infrastruktur
- Aufbau des nötigen Toolings zum Betrieb der Lösung
- Onboarding von neuen Logquellen
- NFR-Testing der Lösung
 
Anforderungen:
Sehr gute Deutsch- sowie gute Englischkenntnisse in Wort und Schrift
4 Jahre Erfahrung in der Administration einer multi-cluster Containerplattform auf Basis von Kubernetes (Nachweis in min. 2 Projekten)
2 Jahre Erfahrung in der Orchestrierung von Kubernetes Deployments mit Hilfe von ArgoCD
1 Jahr Erfahrung in der Absicherung eines Container Service Meshs, bspw. mit ISTIO
2 Jahre Erfahrung im Aufbau und Betrieb eines komponentenbasierten Systemmonitorings auf Basis von Grafana / Loki inklusive Visualisierung, Überwachung und Alarmierung
1 Jahr Erfahrung in der Erstellung und Pflege technischer Dokumentation
2 Jahre Erfahrung im Umgang mit gängigen CI/CD Tools und Versionskontrollsoftware, darunter Gitlab, Helm, Ansible
1 Jahr Erfahrung im Umgang mit gängigen Tools im Bereich Anwenderverwaltung (z.B. Keycloak) und Geheimnismanage-ment (z.B. HashiCorp Vault oder Cyber Ark Conjur)
4 Jahre Erfahrung im Agilen Arbeiten mit Scrum und/oder Kanban

Wir freuen uns auf Ihre Bewerbung unter: https://www.percision.de/projekt/7685/

Freundliche Grüße
Charlin Bugge
Recruitment Consultant
Fon: +49 160 7861611
Mail: charlin.bugge@percision.de
Web: https://www.percision.de
percision services GmbH
Agrippinawerft 26 (2.Etage)
50678 Köln"
"Linux Administrator (m/w/d), remote (ID: 28898)Linux Administrator (m/w/d), remote (ID: 28898)Linux Administrator (m/w/d), remote (ID: 28898)",31.01.2024,"für unser Kundenprojekt suche ich aktuell eine/n Linux Administrator (m/w/d) (28898). 
Ist dies ein passendes Projekt für Sie? Ich freue mich auf Ihre Rückmeldung!

Start: 15.02.2024
Dauer: 6 Monate+
Einsatzort: remote

Aufgaben:
Für unseren Kunden im öffentlichen Sektor sind wir aktuell auf der Suche nach einem Linux Administrator (m/w/d). 

Das Projekt kann zu 100% remote ausgeführt werden.

Anforderungen:
must-have:
-Fundierte Erfahrung in Linux Administration (idealerweise RHEL)
-Erfahrung mit Proxy- und Mailservern
-IT-Security Kenntnisse
-Fließende Deutschkenntnisse

nice-to-have:
-Erfahrung im Cloud-Umfeld
-Kenntnisse in Automatisierungstechnologien

Umfeld:
Linux, Administration, RedHat, Proxy, Mailrelay, NTP, Docker, Podman, Ansible, Kubernetes, Cloud, Puppet

Für Ihre Bewerbung und weitere Informationen nutzen Sie bitte diesen Link:
https://experts.contractor.de/projektangebot-details/28898/?so=-1&ts=84151df735bf57ff5dec7ebe1c492abe&cr=RFQFLM&utm_source=newsletter&utm_medium=RFQFLM&utm_campaign=28898

Weitere interessante Projekte finden Sie in unserer LinkedIn Gruppe: https://www.linkedin.com/groups/12657862/

Beste Grüße

	
Emely Böttner
Recruiterin
+49 89 41 61 716 - 21 | emely.boettner@contractor.de
Contractor Consulting GmbH
Adams-Lehmann-Str. 56
80797 München
https://www.contractor.de - we consult | we create | we recruit
Datenschutzerklärung: https://www.contractor.de/datenschutz/
Geschäftsführer: Alexander Ulrich | Amtsgericht München, HRB 187777  | Sitz der Gesellschaft: München"
SAP Migration - Bereich SAP MM - 100% remote,31.01.2024,"Für unseren Partner aus dem Gesundheitsbranche suchen wir umgehend Unterstützung in der 

SAP Migration - Bereich SAP MM - 100% remote

Derzeit befindet sich das Projekt in der technischen Umsetzung. Es wird S/4 HANA nach Greenfield implementiert.

Aufgaben

•	Übernahme der Migrationstätigkeiten im Rahmen eines SAP S/4 Greenfield Projekt im Bereich SAP MM Einkauf 
•	Daten aus unterschiedliche Vorsystemen müssen zusammengeführt und für die Migration aufbereitet werden
•	Zusammenarbeit mit Fachbereich und Migrationsteam
•	Übernahme von Koordination und Moderation der beteiligten Teams, um konstruktiv und zielgerichtet miteinander die Migrationsobjekte zur Verfügung zu stellen
•	Strukturierte Arbeitsweise mit Jira und Confluence 
•	Validierung der migrierten Daten im Zielsystem


Qualifikationen

•	Mehrjährige, tiefgehende Projekterfahrung in SAP Migrationsprojekten, bevorzugt im SAP MM Umfeld
•	Praktische Erfahrung in SAP-Implementierungsprojekten
•	Erfahrung im regulatorischen Umfeld von Vorteil (gerne aus der Gesundheitsbranche oder Labor)
•	Verhandlungssichere Deutschkenntnisse


Rahmen

•	Start: ASAP
•	Laufzeit: voraussichtlich bis Juni 2024
•	Auslastung: 5 Tage pro Woche / Vollzeit
•	Ort: bis zu 100% remote möglich

Bei Interesse freuen wir uns auf Ihre Rückmeldung und die Zusendung Ihres aktuellen Qualifikationsprofils (gerne im WORD-Format) unter Angabe Ihrer Konditionen und Ihrer Verfügbarkeit.


Ihr Ansprechpartner für diese Position ist:
Lennart Elias

Mobil: +49-162-6817502
l.elias@bluechilled-group.de"
"Administrator (m/w/d) Betrieb MS SharePoint Umgebung - Remote (90%), Rheinbach (10%)",31.01.2024,"Unterstützung im Bereich MS SharePoint Betrieb: Incidents, Problems, Changes 

Aufgaben: 
1.	Im Rahmen des kontinuierlichen Verbesserungsprozesses sind wiederkehrende Tätigkeiten mittels PowerShell-Skripten zu automatisieren. 
2.	Bearbeitung von Incidents, welche manuell durch den User Help Desk oder automatisiert durch aktive Monitoring-Systeme initiiert wurden.
a.	Identifikation von Problemen. 
b.	Konzeption technischer Lösungen sowie deren Umsetzung. 
c.	Ganzheitliche Dokumentation entlang des gesamten Incident-Prozesses. 
d.	Professionelle und umfassende Kommunikation hinsichtlich des Incidents mit dem Kunden. 
3.	Identifikation wiederkehrender Probleme und Konzeption von Lösungen für die weitere und künftige Bearbeitung inklusive Dokumentation. 
4.	Installation, Konfiguration und Dokumentation von Changes an IT-Systemen und SharePoint-Applikationen, die von der Abteilung betreut werden. 
a.	Übernahme von Aufgaben für Installation und Konfigurationen von IT-Systemen, welche seitens des IT-Service-Management-Tools delegiert werden. 
b.	Installation und Konfiguration gemäß den Vorgaben der Abteilung. 
5.	Bearbeitung Problemen
a.	Betriebsseitiger Ansprechpartner für Entwickler und IT-Architekten bei der Lösung von Problemen auf den durch die Abteilung betreuten IT-Systemen. 
b.	Konzeption technischer Lösungen in Form von Störungsbehebungen und Workarounds zur Beseitigung von Problemen. 
c.	Ganzheitliche Dokumentation.

Qualifikationsanforderungen: 
1.	Sehr gute Sprachkenntnisse in Deutsch und gute Sprachkenntnisse in Englisch 
2.	Kenntnisse IT-Service Management ITIL v3 oder ITIL 4

Erfahrungsanforderungen: 
1.	Erfahrung in der Adminstration von IT-Systemen
2.	Erfahrung in der Administration und Bereitstellung von SharePoint sowie SharePoint Applikationen
3.	Erfahrung in der Umsetzung von geplanten und beschriebenen IT-Systemen
4.	Erfahrung in der Validierung und im Test von IT-Systemen
5.	Erfahrung im Umgang mit IT Management Systemen, z.B USU, Maximo, Remedy
6.	Erfahrung mit operativen Projektmanagementwerk-zeugen, z.B. JIRA"
"Administrator (m/w/d) Betrieb Nintex K2 Workflows - Remote (90%), Rheinbach (10%)",31.01.2024,"Unterstützung im Bereich Nintex K2 Workflow Betrieb: Incidents, Problems, Changes

Aufgaben:
1. Troubleshooting, Monitoring und Fehleranalyse bei Incidents und Problems, welche durch das IT Service Management Tool initiiert werden, im Kontext von Nintex K2 Workflows.
2. Implementierung von Formularen und Workflows im Zuge der Change-Bearbeitung für SharePoint-Applikationen via Nintex K2-Designer und Designer for SharePoint.
3. IT-Betriebsseitiger Ansprechpartner für Entwickler und IT-Architekten bei der Lösung, Entwicklung und Optimierung etablierter Nintex K2-Workflows.
4. Ganzheitliche Dokumentation der Tätigkeiten innerhalb des IT-Service-Management-Tools sowie Fortschreibung betrieblicher Dokumente

Qualifikationsanforderungen:
1. Sehr gute Sprachkenntnisse in Deutsch und gute Sprachkenntnisse in Englisch
2. Kenntnisse IT-Service Management ITIL v3 oder ITIL 4

Erfahrungsanforderungen:
1. Erfahrung im Umgang mit IT Management Systemen, z.B USU, Maximo, Remedy
2. Administration von IT-Systemen, NAOP (Nintex Automation on premise), sowie Windows-Server
3. Erfahrungen mit Microsoft SQL Servern und daran angebundene Workflow Lösungen
4. Erfahrung in der Umsetzung von geplanten und beschriebenen IT-Systemen
5. Erfahrung mit operativen Projektmanagementwerk-zeugen, z.B. JIRA
6. Erfahrung in der Integration von Workflow Engines (K2 / Nintex) in SharePoint Umgebungen
7. Erfahrung in der Anwendung und Konfiguration von SharePoint 2019 Workflows und Formularen mit Nintex K2-Designer 
8. Erfahrung mit Workflow Engines in Enterprise Umgebungen mit 10000+ Benutzern"
